101,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,,,,,,,,,,,,
102,tropical fruit,yogurt,coffee,,,,,,,,,,,,,,,,,,,,
103,milk,,,,,,,,,,,,,,,,,,,,,,
104,pip fruit,yogurt,cream cheese ,meat spreads,,,,,,,,,,,,,,,,,,,
105,other vegetables,milk,condensed milk,long life bakery product,,,,,,,,,,,,,,,,,,,
106,milk,butter,yogurt,rice,abrasive cleaner,,,,,,,,,,,,,,,,,,
107,rolls,,,,,,,,,,,,,,,,,,,,,,
108,other vegetables,cow milk,rolls,bottled beer,liquor (appetizer),,,,,,,,,,,,,,,,,,
109,pot plants,,,,,,,,,,,,,,,,,,,,,,
110,milk,cereals,,,,,,,,,,,,,,,,,,,,,
111,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,,,,,,,,,,,,
112,citrus fruit,tropical fruit,milk,butter,curd,yogurt,flour,bottled water,dishes,,,,,,,,,,,,,,
113,beef,,,,,,,,,,,,,,,,,,,,,,
114,frankfurter,rolls,soda,,,,,,,,,,,,,,,,,,,,
115,chicken,tropical fruit,,,,,,,,,,,,,,,,,,,,,
116,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,
117,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,
118,packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,
119,chocolate,,,,,,,,,,,,,,,,,,,,,,
120,specialty bar,,,,,,,,,,,,,,,,,,,,,,
121,other vegetables,,,,,,,,,,,,,,,,,,,,,,
122,butter milk,pastry,,,,,,,,,,,,,,,,,,,,,
123,milk,,,,,,,,,,,,,,,,,,,,,,
124,tropical fruit,cream cheese ,processed cheese,detergent,newspapers,,,,,,,,,,,,,,,,,,
125,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,,,,,,,,,,,,
126,bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,
127,yogurt,,,,,,,,,,,,,,,,,,,,,,
128,sausage,rolls,soda,chocolate,,,,,,,,,,,,,,,,,,,
129,other vegetables,,,,,,,,,,,,,,,,,,,,,,
130,brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags,,,,,,,,,,,,,,,,,
131,yogurt,beverages,bottled water,specialty bar,,,,,,,,,,,,,,,,,,,
132,hamburger meat,other vegetables,rolls,spices,bottled water,hygiene articles,napkins,,,,,,,,,,,,,,,,
133,root vegetables,other vegetables,milk,beverages,sugar,,,,,,,,,,,,,,,,,,
134,pork,berries,other vegetables,milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner,,,,,,,,,,,,,,,
135,beef,grapes,detergent,,,,,,,,,,,,,,,,,,,,
136,pastry,soda,,,,,,,,,,,,,,,,,,,,,
137,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,
138,canned beer,,,,,,,,,,,,,,,,,,,,,,
139,root vegetables,other vegetables,milk,dessert,,,,,,,,,,,,,,,,,,,
140,citrus fruit,zwieback,newspapers,,,,,,,,,,,,,,,,,,,,
141,sausage,rolls,soda,canned beer,specialty bar,shopping bags,,,,,,,,,,,,,,,,,
142,tropical fruit,root vegetables,milk,yogurt,domestic eggs,brown bread,pastry,sugar,cereals,coffee,soda,waffles,candy,,,,,,,,,,
143,berries,yogurt,,,,,,,,,,,,,,,,,,,,,
144,canned beer,,,,,,,,,,,,,,,,,,,,,,
145,butter milk,yogurt,cream cheese ,spread cheese,rolls,bottled water,soda,newspapers,,,,,,,,,,,,,,,
146,coffee,,,,,,,,,,,,,,,,,,,,,,
147,pastry,bottled water,,,,,,,,,,,,,,,,,,,,,
148,rolls,,,,,,,,,,,,,,,,,,,,,,
149,misc. beverages,,,,,,,,,,,,,,,,,,,,,,
150,root vegetables,other vegetables,butter,curd,whipped/sour cream,cow milk,hard cheese,rolls,bottled water,long life bakery product,,,,,,,,,,,,,
151,sausage,rolls,cat food,newspapers,,,,,,,,,,,,,,,,,,,
152,canned beer,,,,,,,,,,,,,,,,,,,,,,
153,ham,grapes,other vegetables,milk,,,,,,,,,,,,,,,,,,,
154,turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice,,,,,,,,,,,,,
155,milk,yogurt,processed cheese,pickled vegetables,soda,,,,,,,,,,,,,,,,,,
156,milk,curd,yogurt,pastry,,,,,,,,,,,,,,,,,,,
157,packaged fruit/vegetables,brown bread,canned beer,,,,,,,,,,,,,,,,,,,,
158,rolls,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins,,,,,,,,,,,,,,,,
159,ham,beef,whipped/sour cream,ice cream,rolls,cat food,,,,,,,,,,,,,,,,,
160,rolls,pastry,sugar,,,,,,,,,,,,,,,,,,,,
161,other vegetables,milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent,,,,,,,,,,,,,,,,
162,sausage,pastry,,,,,,,,,,,,,,,,,,,,,
163,sausage,beef,milk,,,,,,,,,,,,,,,,,,,,
164,frankfurter,tropical fruit,rolls,brown bread,sugar,,,,,,,,,,,,,,,,,,
165,rolls,pastry,soda,,,,,,,,,,,,,,,,,,,,
166,milk,,,,,,,,,,,,,,,,,,,,,,
167,curd cheese,coffee,,,,,,,,,,,,,,,,,,,,,
168,red/blush wine,newspapers,,,,,,,,,,,,,,,,,,,,,
169,sausage,milk,curd,,,,,,,,,,,,,,,,,,,,
170,tropical fruit,pip fruit,berries,milk,frozen potato products,rolls,pickled vegetables,chocolate,,,,,,,,,,,,,,,
171,red/blush wine,,,,,,,,,,,,,,,,,,,,,,
172,milk,butter,margarine,specialty fat,specialty chocolate,candles,flower (seeds),,,,,,,,,,,,,,,,
173,frankfurter,citrus fruit,milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers,,,,,,,,,,,,,,,
174,milk,meat spreads,soda,,,,,,,,,,,,,,,,,,,,
175,frozen potato products,,,,,,,,,,,,,,,,,,,,,,
176,other vegetables,milk,rolls,sugar,,,,,,,,,,,,,,,,,,,
177,citrus fruit,milk,curd,butter milk,pastry,,,,,,,,,,,,,,,,,,
178,flour,salt,bottled water,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,
179,sugar,bottled water,soda,bottled beer,,,,,,,,,,,,,,,,,,,
180,frozen meals,coffee,,,,,,,,,,,,,,,,,,,,,
181,chocolate,,,,,,,,,,,,,,,,,,,,,,
182,root vegetables,milk,frozen vegetables,domestic eggs,rolls,oil,margarine,canned vegetables,fruit/vegetable juice,bathroom cleaner,,,,,,,,,,,,,
183,root vegetables,onions,hard cheese,frozen vegetables,,,,,,,,,,,,,,,,,,,
184,herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles,,,,,,,,,,,,,,,,
185,bottled water,,,,,,,,,,,,,,,,,,,,,,
186,sausage,root vegetables,onions,yogurt,rolls,brandy,detergent,,,,,,,,,,,,,,,,
187,coffee,newspapers,,,,,,,,,,,,,,,,,,,,,
188,pork,other vegetables,whipped/sour cream,,,,,,,,,,,,,,,,,,,,
189,berries,yogurt,,,,,,,,,,,,,,,,,,,,,
190,soda,,,,,,,,,,,,,,,,,,,,,,
191,berries,,,,,,,,,,,,,,,,,,,,,,
192,fruit/vegetable juice,salty snack,candles,,,,,,,,,,,,,,,,,,,,
193,citrus fruit,butter milk,yogurt,cream cheese ,,,,,,,,,,,,,,,,,,,
194,pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee,chocolate,,,,,,,,,,,,,,
195,detergent,,,,,,,,,,,,,,,,,,,,,,
196,grapes,photo/film,,,,,,,,,,,,,,,,,,,,,
197,sausage,sliced cheese,rolls,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags,,,,,,,,,,,,,,
198,chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta,oil,detergent,,,,,,,,,,,,,
199,milk,yogurt,brown bread,,,,,,,,,,,,,,,,,,,,
200,citrus fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,
201,soda,misc. beverages,,,,,,,,,,,,,,,,,,,,,
202,sausage,pork,grapes,milk,rolls,pastry,soda,specialty bar,bathroom cleaner,,,,,,,,,,,,,,
203,frankfurter,rolls,bottled water,,,,,,,,,,,,,,,,,,,,
204,sausage,milk,yogurt,coffee,fruit/vegetable juice,bottled beer,softener,napkins,photo/film,shopping bags,,,,,,,,,,,,,
205,soda,,,,,,,,,,,,,,,,,,,,,,
206,rolls,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,
207,beef,citrus fruit,berries,root vegetables,brown bread,detergent,,,,,,,,,,,,,,,,,
208,milk,whipped/sour cream,rolls,soda,waffles,candy,cling film/bags,,,,,,,,,,,,,,,,
209,processed cheese,,,,,,,,,,,,,,,,,,,,,,
210,tropical fruit,pip fruit,,,,,,,,,,,,,,,,,,,,,
211,frankfurter,sausage,root vegetables,other vegetables,rolls,oil,pickled vegetables,bottled beer,chewing gum,dishes,,,,,,,,,,,,,
212,packaged fruit/vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,
213,milk,dessert,frozen vegetables,rolls,margarine,bottled water,red/blush wine,newspapers,,,,,,,,,,,,,,,
214,berries,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,
215,citrus fruit,berries,cow milk,processed cheese,,,,,,,,,,,,,,,,,,,
216,tropical fruit,milk,yogurt,,,,,,,,,,,,,,,,,,,,
217,hamburger meat,milk,frozen vegetables,rolls,bottled beer,sparkling wine,,,,,,,,,,,,,,,,,
218,hamburger meat,other vegetables,milk,frozen vegetables,domestic eggs,soda,dishes,,,,,,,,,,,,,,,,
219,milk,cream cheese ,soda,,,,,,,,,,,,,,,,,,,,
220,fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags,,,,,,,,,,,,,,,
221,frankfurter,sausage,long life bakery product,waffles,,,,,,,,,,,,,,,,,,,
222,packaged fruit/vegetables,dessert,semi-finished bread,canned beer,,,,,,,,,,,,,,,,,,,
223,pastry,soda,,,,,,,,,,,,,,,,,,,,,
224,other vegetables,red/blush wine,,,,,,,,,,,,,,,,,,,,,
225,misc. beverages,,,,,,,,,,,,,,,,,,,,,,
226,frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,milk,hard cheese,cream cheese ,domestic eggs,rice,sugar,canned fruit,misc. beverages,fruit/vegetable juice,hygiene articles,,,,,,,,
227,sparkling wine,,,,,,,,,,,,,,,,,,,,,,
228,specialty bar,,,,,,,,,,,,,,,,,,,,,,
229,sausage,butter milk,rolls,,,,,,,,,,,,,,,,,,,,
230,curd cheese,,,,,,,,,,,,,,,,,,,,,,
231,frankfurter,dessert,,,,,,,,,,,,,,,,,,,,,
232,milk,yogurt,beverages,brown bread,shopping bags,,,,,,,,,,,,,,,,,,
233,newspapers,,,,,,,,,,,,,,,,,,,,,,
234,berries,soda,,,,,,,,,,,,,,,,,,,,,
235,curd,flour,liquor (appetizer),,,,,,,,,,,,,,,,,,,,
236,tropical fruit,other vegetables,coffee,,,,,,,,,,,,,,,,,,,,
237,soda,,,,,,,,,,,,,,,,,,,,,,
238,rolls,Instant food products,,,,,,,,,,,,,,,,,,,,,
239,canned beer,,,,,,,,,,,,,,,,,,,,,,
240,canned beer,,,,,,,,,,,,,,,,,,,,,,
241,frankfurter,sausage,milk,rolls,margarine,,,,,,,,,,,,,,,,,,
242,other vegetables,misc. beverages,canned beer,,,,,,,,,,,,,,,,,,,,
243,milk,frozen vegetables,,,,,,,,,,,,,,,,,,,,,
244,milk,,,,,,,,,,,,,,,,,,,,,,
245,citrus fruit,butter,cream cheese ,white bread,oil,margarine,newspapers,,,,,,,,,,,,,,,,
246,frankfurter,rolls,,,,,,,,,,,,,,,,,,,,,
247,frankfurter,ham,pip fruit,other vegetables,milk,soft cheese,frozen vegetables,rolls,sugar,baking powder,,,,,,,,,,,,,
248,butter milk,yogurt,honey,soda,detergent,,,,,,,,,,,,,,,,,,
249,hamburger meat,citrus fruit,onions,rolls,bottled water,dental care,,,,,,,,,,,,,,,,,
250,pasta,popcorn,,,,,,,,,,,,,,,,,,,,,
251,other vegetables,milk,meat spreads,cake bar,chocolate,shopping bags,,,,,,,,,,,,,,,,,
252,sausage,pork,citrus fruit,dessert,white bread,dishes,candles,,,,,,,,,,,,,,,,
253,rolls,,,,,,,,,,,,,,,,,,,,,,
254,grapes,other vegetables,curd,dessert,yogurt,napkins,,,,,,,,,,,,,,,,,
255,root vegetables,other vegetables,milk,yogurt,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,
256,coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,
257,popcorn,,,,,,,,,,,,,,,,,,,,,,
258,milk,rolls,sugar,bottled water,soda,,,,,,,,,,,,,,,,,,
259,tropical fruit,other vegetables,packaged fruit/vegetables,milk,snack products,,,,,,,,,,,,,,,,,,
260,beef,herbs,flour,cling film/bags,flower soil/fertilizer,,,,,,,,,,,,,,,,,,
261,milk,butter,dessert,rolls,,,,,,,,,,,,,,,,,,,
262,frankfurter,soda,chewing gum,,,,,,,,,,,,,,,,,,,,
263,tropical fruit,specialty cheese,bottled water,,,,,,,,,,,,,,,,,,,,
264,canned beer,,,,,,,,,,,,,,,,,,,,,,
265,finished products,other vegetables,frozen vegetables,bottled beer,,,,,,,,,,,,,,,,,,,
266,beverages,soda,,,,,,,,,,,,,,,,,,,,,
267,hamburger meat,root vegetables,milk,,,,,,,,,,,,,,,,,,,,
268,milk,pastry,long life bakery product,,,,,,,,,,,,,,,,,,,,
269,finished products,white wine,shopping bags,,,,,,,,,,,,,,,,,,,,
270,other vegetables,,,,,,,,,,,,,,,,,,,,,,
271,ham,tropical fruit,other vegetables,milk,white bread,brown bread,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,
272,other vegetables,,,,,,,,,,,,,,,,,,,,,,
273,curd,butter milk,cocoa drinks,salty snack,popcorn,,,,,,,,,,,,,,,,,,
274,bottled beer,,,,,,,,,,,,,,,,,,,,,,
275,curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags,,,,,,,,,,,,,,,
276,milk,cream cheese ,cereals,dog food,,,,,,,,,,,,,,,,,,,
277,milk,salt,,,,,,,,,,,,,,,,,,,,,
278,dessert,ice cream,,,,,,,,,,,,,,,,,,,,,
279,sausage,soft cheese,coffee,,,,,,,,,,,,,,,,,,,,
280,other vegetables,bottled water,waffles,dishes,shopping bags,,,,,,,,,,,,,,,,,,
281,ham,milk,rolls,,,,,,,,,,,,,,,,,,,,
282,other vegetables,ice cream,,,,,,,,,,,,,,,,,,,,,
283,other vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,
284,soda,bottled beer,white wine,prosecco,,,,,,,,,,,,,,,,,,,
285,herbs,candy,,,,,,,,,,,,,,,,,,,,,
286,frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese ,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles
287,rolls,canned beer,,,,,,,,,,,,,,,,,,,,,
288,curd,cream cheese ,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags,,,,,,,,,,,,,,,,
289,frankfurter,tropical fruit,milk,spread cheese,margarine,shopping bags,,,,,,,,,,,,,,,,,
290,other vegetables,,,,,,,,,,,,,,,,,,,,,,
291,dog food,,,,,,,,,,,,,,,,,,,,,,
292,specialty bar,,,,,,,,,,,,,,,,,,,,,,
293,curd,salt,liquor (appetizer),detergent,shopping bags,,,,,,,,,,,,,,,,,,
294,frankfurter,rolls,,,,,,,,,,,,,,,,,,,,,
295,soda,,,,,,,,,,,,,,,,,,,,,,
296,beef,berries,root vegetables,milk,dessert,spread cheese,brown bread,,,,,,,,,,,,,,,,
297,canned beer,,,,,,,,,,,,,,,,,,,,,,
298,pork,beef,pip fruit,herbs,spices,,,,,,,,,,,,,,,,,,
299,frankfurter,citrus fruit,cow milk,margarine,sugar,,,,,,,,,,,,,,,,,,
300,sausage,bottled beer,liquor (appetizer),,,,,,,,,,,,,,,,,,,,
301,canned beer,,,,,,,,,,,,,,,,,,,,,,
302,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,
303,curd,rolls,,,,,,,,,,,,,,,,,,,,,
304,canned beer,,,,,,,,,,,,,,,,,,,,,,
305,milk,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,
306,rolls,chewing gum,,,,,,,,,,,,,,,,,,,,,
307,pork,root vegetables,other vegetables,milk,dishes,,,,,,,,,,,,,,,,,,
308,citrus fruit,pastry,,,,,,,,,,,,,,,,,,,,,
309,pot plants,,,,,,,,,,,,,,,,,,,,,,
310,rolls,pastry,soda,,,,,,,,,,,,,,,,,,,,
311,butter,yogurt,bottled water,soda,make up remover,hygiene articles,,,,,,,,,,,,,,,,,
312,condensed milk,sugar,coffee,shopping bags,,,,,,,,,,,,,,,,,,,
313,sausage,other vegetables,yogurt,soda,shopping bags,,,,,,,,,,,,,,,,,,
314,milk,beverages,cow milk,soda,,,,,,,,,,,,,,,,,,,
315,sausage,pork,beef,milk,rolls,margarine,,,,,,,,,,,,,,,,,
316,beverages,,,,,,,,,,,,,,,,,,,,,,
317,beverages,specialty bar,,,,,,,,,,,,,,,,,,,,,
318,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,
319,newspapers,,,,,,,,,,,,,,,,,,,,,,
320,cleaner,female sanitary products,,,,,,,,,,,,,,,,,,,,,
321,sausage,soda,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,
322,newspapers,,,,,,,,,,,,,,,,,,,,,,
323,sausage,beef,citrus fruit,other vegetables,milk,butter milk,whipped/sour cream,beverages,hard cheese,rolls,dish cleaner,cookware,,,,,,,,,,,
324,misc. beverages,newspapers,,,,,,,,,,,,,,,,,,,,,
325,white wine,,,,,,,,,,,,,,,,,,,,,,
326,sausage,sliced cheese,rolls,soda,canned beer,shopping bags,,,,,,,,,,,,,,,,,
327,meat,curd,bottled beer,cake bar,,,,,,,,,,,,,,,,,,,
328,frankfurter,meat,tropical fruit,onions,oil,baking powder,tea,cling film/bags,,,,,,,,,,,,,,,
329,ice cream,rolls,canned beer,,,,,,,,,,,,,,,,,,,,
330,canned beer,,,,,,,,,,,,,,,,,,,,,,
331,tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags,,,,,,,,,,,,,,,,,
332,meat,citrus fruit,other vegetables,curd,dessert,butter milk,beverages,cream cheese ,rolls,brown bread,tea,bottled water,,,,,,,,,,,
333,milk,mustard,bottled water,,,,,,,,,,,,,,,,,,,,
334,sausage,beef,beverages,sliced cheese,rolls,spices,house keeping products,flower (seeds),,,,,,,,,,,,,,,
335,frankfurter,sausage,root vegetables,butter,curd,sliced cheese,rolls,salty snack,long life bakery product,,,,,,,,,,,,,,
336,meat,other vegetables,butter,rolls,,,,,,,,,,,,,,,,,,,
337,root vegetables,beverages,Instant food products,pickled vegetables,detergent,,,,,,,,,,,,,,,,,,
338,root vegetables,herbs,other vegetables,milk,sliced cheese,rolls,,,,,,,,,,,,,,,,,
339,milk,whipped/sour cream,semi-finished bread,margarine,,,,,,,,,,,,,,,,,,,
340,citrus fruit,milk,curd,dessert,yogurt,whipped/sour cream,frozen dessert,rolls,salt,sugar,cereals,canned vegetables,canned fish,skin care,hygiene articles,napkins,,,,,,,
341,citrus fruit,curd,pastry,margarine,sugar,candy,newspapers,,,,,,,,,,,,,,,,
342,other vegetables,milk,bottled water,soda,misc. beverages,bottled beer,red/blush wine,napkins,,,,,,,,,,,,,,,
343,citrus fruit,milk,rolls,,,,,,,,,,,,,,,,,,,,
344,sausage,oil,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,
345,frankfurter,beef,hamburger meat,grapes,root vegetables,milk,butter,frozen dessert,potato products,bottled water,bottled beer,,,,,,,,,,,,
346,hard cheese,rolls,bottled water,newspapers,,,,,,,,,,,,,,,,,,,
347,cream cheese ,rolls,soda,chocolate,,,,,,,,,,,,,,,,,,,
348,turkey,beef,frozen vegetables,dishes,photo/film,,,,,,,,,,,,,,,,,,
349,pork,other vegetables,whipped/sour cream,rolls,soda,shopping bags,,,,,,,,,,,,,,,,,
350,milk,beverages,,,,,,,,,,,,,,,,,,,,,
351,rolls,soda,,,,,,,,,,,,,,,,,,,,,
352,sausage,pip fruit,milk,curd,yogurt,sliced cheese,rolls,bottled water,hygiene articles,,,,,,,,,,,,,,
353,ice cream,,,,,,,,,,,,,,,,,,,,,,
354,liquor,,,,,,,,,,,,,,,,,,,,,,
355,pip fruit,other vegetables,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,
356,root vegetables,other vegetables,yogurt,,,,,,,,,,,,,,,,,,,,
357,soda,,,,,,,,,,,,,,,,,,,,,,
358,soda,,,,,,,,,,,,,,,,,,,,,,
359,sausage,citrus fruit,tropical fruit,other vegetables,milk,yogurt,rolls,bottled water,soda,chocolate,newspapers,,,,,,,,,,,,
360,root vegetables,milk,pet care,detergent,,,,,,,,,,,,,,,,,,,
361,pork,berries,root vegetables,other vegetables,pastry,specialty bar,,,,,,,,,,,,,,,,,
362,pork,,,,,,,,,,,,,,,,,,,,,,
363,chocolate,,,,,,,,,,,,,,,,,,,,,,
364,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,
